Common_name,Ref,IUPAC_name,CAS_number,Formula,C,H,N,O,S,P,Canonical_smile,InchI,Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area,Polarizability,Hydrogen Acceptor Count,Hydrogen Donor Count,HOMO-1 (eV),HOMO (eV),LUMO (eV),Ionization Energy I (eV),Electron Affinity A (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ?N_Fe ,IE EXP (%)
Betanidine,https://pubchem.ncbi.nlm.nih.gov/compound/2368#section=InChI-Key,"1-benzyl-2,3-dimethylguanidine",55-73-2,C10H15N3,10,15,3,0,0,0,CNC(=NC)NCC1=CC=CC=C1,"InChI=1S/C18H16N2O8/c21-14-6-9-5-13(18(27)28)20(12(9)7-15(14)22)2-1-8-3-10(16(23)24)19-11(4-8)17(25)26/h1-3,6-7,11,13H,4-5H2,(H5,21,22,23,24,25,26,27,28)
",177.25,10.6,0.49,-2,36.42,20.43,3,2,-5.681,-5.099,-1.749,5.099,1.749,3.424,1.675,0.856,1.067462687,89.47436238
Ethyl biscoumacetate,https://www.drugbank.ca/drugs/DB08794,"ethyl 2,2-bis(4-hydroxy-2-oxo-2H-chromen-3-yl)acetate
",548-00-5,C22H16O8,22,16,0,8,0,0,CCOC(=O)C(C1=C(O)C2=CC=CC=C2OC1=O)C1=C(O)C2=CC=CC=C2OC1=O,"InChI=1S/C22H16O8/c1-2-28-20(25)15(16-18(23)11-7-3-5-9-13(11)29-21(16)26)17-19(24)12-8-4-6-10-14(12)30-22(17)27/h3-10,15,23-24H,2H2,1H3

",408.4,3.1,2.18,-3.8,119.36,39.98,8,2,-6.34,-6.251,-3.125,6.251,3.125,4.688,1.563,1.172,0.739603327,91.05334855
Brucine,https://pubchem.ncbi.nlm.nih.gov/compound/442021#section=Isomeric-SMILES,"(4aR,5aS,8aR,13aS,15aS,15bR)-10,11-dimethoxy-4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one",357-57-3,C23H26N2O4,23,26,2,4,0,0,COC1=C(C=C2C(=C1)C34CCN5C3CC6C7C4N2C(=O)CC7OCC=C6C5)OC,"InChI=1S/C23H26N2O4/c1-27-16-8-14-15(9-17(16)28-2)25-20(26)10-18-21-13-7-19-23(14,22(21)25)4-5-24(19)11-12(13)3-6-29-18/h3,8-9,13,18-19,21-22H,4-7,10-11H2,1-2H3/t13-,18-,19-,21-,22-,23+/m0/s1",394.5,8,1,-2.437967,51.2,31.58220884,5,0,-5.381,-4.885,-1.363,4.885,1.363,3.124,1.761,0.781,1.100511073,98.4
Bupivacaine,https://pubchem.ncbi.nlm.nih.gov/compound/2474,"1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide",38396-39-3,C18H28N2O,18,28,2,1,0,0,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,"InChI=1S/C18H28N2O/c1-4-5-12-20-13-7-6-11-16(20)18(21)19-17-14(2)9-8-10-15(17)3/h8-10,16H,4-7,11-13H2,1-3H3,(H,19,21)
",288.4,8.1,3.6,-3.5,32.4,34.19,2,1,-5.805,-5.294,-1.399,5.294,1.399,3.3465,1.9475,0.836625,0.937997433,90.55896095
Butabarbital,https://www.drugbank.ca/drugs/DB00237,"5-(butan-2-yl)-5-ethyl-1,3-diazinane-2,4,6-trione",125-40-6,C10H16N2O3,10,16,2,3,0,0,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,"InChI=1S/C10H16N2O3/c1-4-6(3)10(5-2)7(13)11-9(15)12-8(10)14/h6H,4-5H2,1-3H3,(H2,11,12,13,14,15)",212.25,7.9,1.5,-2.2,75.27,21.41,3,2,-7.043,-6.681,-2.444,6.681,2.444,4.5625,2.1185,1.140625,0.57528912,89.26821188
Butylparaben,https://www.drugbank.ca/drugs/DB14084,butyl 4-hydroxybenzoate,94-26-8,C11H14O3,11,14,0,3,0,0,CCCCOC(=O)C1=CC=C(O)C=C1,"InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3
",194.23,8.4,3.57,-2.6,46.53,21.45,2,1,-6.338,-6.283,-2.25,6.283,2.25,4.2665,2.0165,1.066625,0.677783288,87.29356688
Capreomycin,https://pubchem.ncbi.nlm.nih.gov/compound/Capreomycin#section=Names-and-Identifiers,"(3S)-3,6-diamino-N-{[(2S,5S,8E,11S,15S)-15-amino-11-[(4R)-2-amino-3,4,5,6-tetrahydropyrimidin-4-yl]-8-[(carbamoylamino)methylidene]-2-(hydroxymethyl)-3,6,9,12,16-pentaoxo-1,4,7,10,13-pentaazacyclohexadecan-5-yl]methyl}hexanamide; (3S)-3,6-diamino-N-{[(2S,5S,8E,11S,15S)-15-amino-11-[(4R)-2-amino-3,4,5,6-tetrahydropyrimidin-4-yl]-8-[(carbamoylamino)methylidene]-2-methyl-3,6,9,12,16-pentaoxo-1,4,7,10,13-pentaazacyclohexadecan-5-yl]methyl}hexanamide",11003-38-6,C50H88N28O15,50,88,28,15,0,0,CC1C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)NC(C(=O)NCC(C(=O)N1)N)C2CCNC(=N2)N)CNC(=O)CC(CCCN)N.C1CNC(=NC1C2C(=O)NCC(C(=O)NC(C(=O)NC(C(=O)NC(=CNC(=O)N)C(=O)N2)CNC(=O)CC(CCCN)N)CO)N)N,"InChI=1S/C25H44N14O8.C25H44N14O7/c26-4-1-2-11(27)6-17(41)32-8-14-20(43)35-15(9-34-25(30)47)21(44)39-18(13-3-5-31-24(29)38-13)23(46)33-7-12(28)19(42)37-16(10-40)22(45)36-14;1-11-19(41)36-15(9-32-17(40)7-12(27)3-2-5-26)21(43)37-16(10-34-25(30)46)22(44)39-18(14-4-6-31-24(29)38-14)23(45)33-8-13(28)20(42)35-11/h9,11-14,16,18,40H,1-8,10,26-28H2,(H,32,41)(H,33,46)(H,35,43)(H,36,45)(H,37,42)(H,39,44)(H3,29,31,38)(H3,30,34,47);10-15,18H,2-9,26-28H2,1H3,(H,32,40)(H,33,45)(H,35,42)(H,36,41)(H,37,43)(H,39,44)(H3,29,31,38)(H3,30,34,46)/b15-9+;16-10+/t11-,12-,13+,14-,16-,18-;11-,12-,13-,14+,15-,18-/m00/s1",1321.4,10.62,-9.609,-2.437967,378.42,66.56,14,14,-5.663,-5.529,-2.256,5.529,2.256,3.8925,1.6365,0.973125,0.949434769,88.41865121
Carbachol,http://www.hmdb.ca/metabolites/HMDB0014555,2-(trimethylazaniumyl)ethyl carbamate,51-83-2,C6H15N2O2,6,15,2,2,0,0,C[N+](C)(C)CCOC(N)=O,"InChI=1S/C6H14N2O2/c1-8(2,3)4-5-10-6(7)9/h4-5H2,1-3H3,(H-,7,9)/p+1
",182.65,4.8,-3.78,-2.4,53.32,16.08,1,1,-6.755,-6.248,1.892,6.248,-1.892,2.178,4.07,0.5445,0.592383292,88.34224128
Carbenicillin,https://pubchem.ncbi.nlm.nih.gov/compound/20824#section=Molecular-Formula,"(2S,5R,6R)-6-[(2-carboxy-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",4697-36-3,C17H18N2O6S,17,18,2,6,1,0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,"InChI=1S/C17H18N2O6S/c1-17(2)11(16(24)25)19-13(21)10(14(19)26-17)18-12(20)9(15(22)23)8-6-4-3-5-7-8/h3-7,9-11,14H,1-2H3,(H,18,20)(H,22,23)(H,24,25)/t9?,10-,11+,14-/m1/s1",378.4,3.11,1.13,-3,124.01,36.39,6,3,-6.66,-6.451,-2.139,6.451,2.139,4.295,2.156,1.07375,0.627319109,92.40254413
Carbenoxolone,https://pubchem.ncbi.nlm.nih.gov/compound/636403#section=Names-and-Identifiers,"(2S,4aS,6aR,6aS,6bR,8aR,10S,12aS,14bR)-10-(3-carboxypropanoyloxy)-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1H-picene-2-carboxylic acid",5697-56-3,C34H50O7,34,50,0,7,0,0,CC1(C2CCC3(C(C2(CCC1OC(=O)CCC(=O)O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,"InChI=1S/C34H50O7/c1-29(2)23-10-13-34(7)27(32(23,5)12-11-24(29)41-26(38)9-8-25(36)37)22(35)18-20-21-19-31(4,28(39)40)15-14-30(21,3)16-17-33(20,34)6/h18,21,23-24,27H,8-17,19H2,1-7H3,(H,36,37)(H,39,40)/t21-,23-,24-,27+,30+,31-,32-,33+,34+/m0/s1
",570.8,6.7,6.4,-5.9,117.97,64.99,7,2,-6.376,-5.779,-2.333,5.779,2.333,4.056,1.723,1.014,0.854323854,92.08951914
Cephalexin,http://www.hmdb.ca/metabolites/HMDB0014707,"(6R,7R)-7-[(2R)-2-amino-2-phenylacetamido]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",15686-71-2,C16H17N3O4S,16,17,3,4,1,0,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O,"InChI=1S/C16H17N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-6,10-11,15H,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1",347.4,3.6,0.6,-3.1,112.73,32.52,5,3,-6.043,-5.914,-2.024,5.914,2.024,3.969,1.945,0.99225,0.779177378,76.9
Cephaloglycin,http://www.hmdb.ca/metabolites/HMDB0014827,"(6R,7R)-3-[(acetyloxy)methyl]-7-[(2R)-2-amino-2-phenylacetamido]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",1/3/3577 0:00,C18H19N3O6S,18,19,3,6,1,0,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O," InChI=1S/C18H19N3O6S/c1-9(22)27-7-11-8-28-17-13(16(24)21(17)14(11)18(25)26)20-15(23)12(19)10-5-3-2-4-6-10/h2-6,12-13,17H,7-8,19H2,1H3,(H,20,23)(H,25,26)/t12-,13-,17-/m1/s1",405.4,2.5,-0.3,-3.4,139.03,37.64,6,3,-6.267,-6.071,-2.858,6.071,2.858,4.4645,1.6065,1.116125,0.789137877,91.91150908
Cephaloridine,https://pubchem.ncbi.nlm.nih.gov/compound/5773,"1-{[(6R,7R)-2-carboxylato-7-{[1-hydroxy-2-(thiophen-2-yl)ethylidene]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl}pyridin-1-ium",50-59-9,C19H17N3O4S2,19,17,3,4,2,0,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4,"InChI=1S/C19H17N3O4S2/c23-14(9-13-5-4-8-27-13)20-15-17(24)22-16(19(25)26)12(11-28-18(15)22)10-21-6-2-1-3-7-21/h1-8,15,18H,9-11H2,(H-,20,23,25,26)/t15-,18-/m1/s1

",415.5,3.4,1.9,-4.8,96.91,41.49,6,1,-5.582,-5.31,-3.426,5.31,3.426,4.368,0.942,1.092,1.397027601,90.03292079
Cephalothin ,https://www.drugbank.ca/drugs/DB00456,"(6R,7R)-3-[(acetyloxy)methyl]-8-oxo-7-[2-(thiophen-2-yl)acetamido]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
","153-61-7
", C16H16N2O6S2,16,16,2,6,2,0,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O,"InChI=1S/C16H16N2O6S2/c1-8(19)24-6-9-7-26-15-12(14(21)18(15)13(9)16(22)23)17-11(20)5-10-3-2-4-25-10/h2-4,12,15H,5-7H2,1H3,(H,17,20)(H,22,23)/t12-,15-/m1/s1",396.4,2.4,-0.41,-3.9,113.01,37.22,5,2,-6.265,-6.109,-2.801,6.109,2.801,4.455,1.654,1.11375,0.769347037,92
Cephapirin,https://pubchem.ncbi.nlm.nih.gov/compound/30699,"(6R,7R)-3-[(acetyloxy)methyl]-8-oxo-7-[2-(pyridin-4-ylsulfanyl)acetamido]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid
","21593-23-7
",C17H17N3O6S2,17,17,3,6,2,0,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O,"InChI=1S/C17H17N3O6S2/c1-9(21)26-6-10-7-28-16-13(15(23)20(16)14(10)17(24)25)19-12(22)8-27-11-2-4-18-5-3-11/h2-5,13,16H,6-8H2,1H3,(H,19,22)(H,24,25)/t13-,16-/m1/s1

",423.5,2.15,-0.1,-3.4,125.9,40.63,9,2,-6.35,-6.255,-2.889,6.255,2.889,4.572,1.683,1.143,0.721330957,82.5
Cefazolin,https://pubchem.ncbi.nlm.nih.gov/compound/33255,"(6R,7R)-3-[(5-methyl-1,3,4-thiadiazol-2-yl)sulfanylmethyl]-8-oxo-7-[[2-(tetrazol-1-yl)acetyl]amino]-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid

",25953-19-9,C14H14N8O4S3,14,14,8,4,3,0,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,"InChI=1S/C14H14N8O4S3/c1-6-17-18-14(29-6)28-4-7-3-27-12-9(11(24)22(12)10(7)13(25)26)16-8(23)2-21-5-15-19-20-21/h5,9,12H,2-4H2,1H3,(H,16,23)(H,25,26)/t9-,12-/m1/s1",454.5,2.3,-0.58,-3,156.09,41.44,9,2,-6.418,-6.126,-2.967,6.126,2.967,4.5465,1.5795,1.136625,0.776669832,93.9
Cephradine,https://pubchem.ncbi.nlm.nih.gov/compound/38103#section=Names-and-Identifiers,"(6R,7R)-7-[[(2R)-2-amino-2-cyclohexa-1,4-dien-1-ylacetyl]amino]-3-methyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",38821-53-3,C16H19N3O4S,16,19,3,4,1,0,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CCC=CC3)N)SC1)C(=O)O,"InChI=1S/C16H19N3O4S/c1-8-7-24-15-11(14(21)19(15)12(8)16(22)23)18-13(20)10(17)9-5-3-2-4-6-9/h2-3,6,10-11,15H,4-5,7,17H2,1H3,(H,18,20)(H,22,23)/t10-,11-,15-/m1/s1

",349.4,2.6,0.7,-2.6,112.73,33.19,5,3,-6.077,-5.82,-2.612,5.82,2.612,4.216,1.604,1.054,0.867830424,95
Cyclizine,https://pubchem.ncbi.nlm.nih.gov/compound/6726,1-benzhydryl-4-methylpiperazine,82-92-8,C18H22N2,18,22,2,0,0,0,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3,"InChI=1S/C18H22N2/c1-19-12-14-20(15-13-19)18(16-8-4-2-5-9-16)17-10-6-3-7-11-17/h2-11,18H,12-15H2,1H3",266.4,8.2,3,-3.6,6.48,31.53,2,0,-5.418,-5.114,-1.62,5.114,1.62,3.367,1.747,0.84175,1.039782484,94.10307771
Cyclobarbital,https://pubchem.ncbi.nlm.nih.gov/compound/5838,"5-(cyclohexen-1-yl)-5-ethyl-1,3-diazinane-2,4,6-trione",52-31-3,C12H16N2O3,12,16,2,3,0,0,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,"InChI=1S/C12H16N2O3/c1-2-12(8-6-4-3-5-7-8)9(15)13-11(17)14-10(12)16/h6H,2-5,7H2,1H3,(H2,13,14,15,16,17)",236.27,7.5,1.96,-2.5,75.27,23.94,3,2,-6.894,-6.386,-2.357,6.386,2.357,4.3715,2.0145,1.092875,0.652395135,86.15773726
Cyclopentamine,https://www.drugbank.ca/drugs/DB08999,(1-cyclopentylpropan-2-yl)(methyl)amine,102-45-4,C9H19N,9,19,1,0,0,0,CC(CC1CCCC1)NC,"InChI=1S/C9H19N/c1-8(10-2)7-9-5-3-4-6-9/h8-10H,3-7H2,1-2H3",141.25,3.5,2.86,-2.5,12.03,18,1,1,-7.128,-5.468,5.648,5.468,-5.648,-0.09,5.558,-0.0225,0.637819359,82.7424674
Cyclopentolate,https://www.drugbank.ca/drugs/DB00979,2-(dimethylamino)ethyl 2-(1-hydroxycyclopentyl)-2-phenylacetate,512-15-2,C17H25NO3,17,25,1,3,0,0,CN(C)CCOC(=O)C(C1=CC=CC=C1)C2(CCCC2)O,"InChI=1S/C17H25NO3/c1-18(2)12-13-21-16(19)15(14-8-4-3-5-9-14)17(20)10-6-7-11-17/h3-5,8-9,15,20H,6-7,10-13H2,1-2H3",291.4,7.9,2.4,-2.3,49.77,32.51,3,1,-6.277,-5.404,-1.675,5.404,1.675,3.5395,1.8645,0.884875,0.927996782,93.13906477
Cycloserine,https://www.drugbank.ca/drugs/DB00260,"(4R)-4-amino-1,2-oxazolidin-3-one
",68-41-7,C3H6N2O2,3,6,2,2,0,0,C1C(C(=O)NO1)N,"InChI=1S/C3H6N2O2/c4-2-1-7-5-3(2)6/h2H,1,4H2,(H,5,6)/t2-/m1/s1

",102.09,4.5,-0.9,0.93,64.35,8.87,3,2,-6.072,-5.811,-0.82,5.811,0.82,3.3155,2.4955,0.828875,0.738228812,87.41647464
Cimetidine ,https://pubchem.ncbi.nlm.nih.gov/compound/2756#section=Names-and-Identifiers,1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine,51481-61-9,C10H16N6S,10,16,6,0,1,0,CC1=C(N=CN1)CSCCNC(=NC)NC#N,"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)",252.34,6.8,0.4,-1.35,88.89,27.47,5,3,-5.746,-5.68,-0.732,5.68,0.732,3.206,2.474,0.8015,0.766774454,97.9
Cinchonidine,http://www.hmdb.ca/metabolites/HMDB0030282,{5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl}(quinolin-4-yl)methanol,485-71-2,C19H22N2O,19,22,2,1,0,0,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,"InChI=1S/C19H22N2O/c1-2-13-12-21-10-8-14(13)11-18(21)19(22)16-7-9-20-17-6-4-3-5-15(16)17/h2-7,9,13-14,18-19,22H,1,8,10-12H2/t13-,14-,18-,19+/m0/s1",294.4,8.3,2.82,-2.9,36.36,33.1,3,1,-6.135,-5.803,-2.681,5.803,2.681,4.242,1.561,1.0605,0.883408072,94.61303692
Cinchocaine,https://pubchem.ncbi.nlm.nih.gov/compound/3025,2-butoxy-N-[2-(diethylamino)ethyl]quinoline-4-carboxamide,85-79-0,C20H29N3O2,20,29,3,2,0,0,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,"InChI=1S/C20H29N3O2/c1-4-7-14-25-19-15-17(16-10-8-9-11-18(16)22-19)20(24)21-12-13-23(5-2)6-3/h8-11,15H,4-7,12-14H2,1-3H3,(H,21,24)",343.5,8.5,4.4,-3.7,54.46,40.78,4,1,-5.816,-5.323,-2.722,5.323,2.722,4.0225,1.3005,1.005625,1.144752018,94.75023192
Cytarabine,https://pubchem.ncbi.nlm.nih.gov/compound/Cytarabine,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one","147-94-4

","	C9H13N3O5",9,13,3,5,0,0,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7+,8-/m1/s1",243.22,4.3,-2.8,-0.74,128.61,22.21,7,4,-6.118,-6,-2.193,6,2.193,4.0965,1.9035,1.024125,0.762674022,91.26089132
Citric acid,https://pubchem.ncbi.nlm.nih.gov/compound/311,"2-hydroxypropane-1,2,3-tricarboxylic acid
",77-92-9,C6H8O7,6,8,0,7,0,0,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)

",192.12,2.79,-1.64,0.51,132.13,15.54,7,4,-7.387,-6.612,-1.975,6.612,1.975,4.2935,2.3185,1.073375,0.58367479,99
Clindamycin,https://pubchem.ncbi.nlm.nih.gov/compound/446598#section=Names-and-Identifiers,"(2S,4R)-N-[(1S,2S)-2-chloro-1-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl]propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide

",18323-44-9,C17H21NO4,17,21,1,4,0,0,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,"InChI=1S/C17H21NO4/c1-18-12-8-9-13(18)15(17(20)21-2)14(10-12)22-16(19)11-6-4-3-5-7-11/h3-7,12-15H,8-10H2,1-2H3/t12-,13+,14-,15+/m0/s1

",303.35,8.4,2.3,-2.23,55.84,32.36,3,0,-6.34,-5.581,-2.486,5.581,2.486,4.0335,1.5475,1.008375,0.958481422,93.6
Codeine,http://www.hmdb.ca/metabolites/HMDB0004995,"(4R,4aR,7S,7aR,12bS)-9-methoxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol",76-57-3,C18H21NO3,18,21,1,3,0,0,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1",299.4,7.9,1.39,-1.52,41.93,31.95,4,1,-5.153,-5.096,-1.131,5.096,1.131,3.1135,1.9825,0.778375,0.980201765,89.25199293
Colchicine,https://pubchem.ncbi.nlm.nih.gov/compound/6167,"N-[(7S)-1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5H-benzo[a]heptalen-7-yl]acetamide

",64-86-8,C22H25NO6,22,25,1,6,0,0,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,"InChI=1S/C22H25NO6/c1-12(24)23-16-8-6-13-10-19(27-3)21(28-4)22(29-5)20(13)14-7-9-18(26-2)17(25)11-15(14)16/h7,9-11,16H,6,8H2,1-5H3,(H,23,24)/t16-/m0/s1

",399.4,1.7,1.07,-4.2,83.09,42.41,6,1,-5.856,-5.49,-2.897,5.49,2.897,4.1935,1.2965,1.048375,1.082337061,95
Dacarbazine,https://pubchem.ncbi.nlm.nih.gov/compound/2942#section=Names-and-Identifiers,4-(dimethylaminodiazenyl)-1H-imidazole-5-carboxamide,3/4/4342 0:00,C6H10N6O,6,10,6,1,0,0,CN(C)N=NC1=C(NC=N1)C(=O)N,"InChI=1S/C6H10N6O/c1-12(2)11-10-6-4(5(7)13)8-3-9-6/h3H,1-2H3,(H2,7,13)(H,8,9)",182.18,4.42,-0.24,-2.1,99.73,17.78,5,2,-5.527,-5.117,-2.287,5.117,2.287,3.702,1.415,0.9255,1.165371025,83.92741141
Dantrolene,https://pubchem.ncbi.nlm.nih.gov/compound/6914273#section=Names-and-Identifiers,"1-[(E)-[5-(4-nitrophenyl)furan-2-yl]methylideneamino]imidazolidine-2,4-dione",7261-97-4,C14H10N4O5,14,10,4,5,0,0,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],"InChI=1S/C14H10N4O5/c19-13-8-17(14(20)16-13)15-7-11-5-6-12(23-11)9-1-3-10(4-2-9)18(21)22/h1-7H,8H2,(H,16,19,20)/b15-7+

",314.25,7.5,1.7,-3.6,120.73,29.98,6,1,-6.706,-6.054,-3.773,6.054,3.773,4.9135,1.1405,1.228375,0.914730381,91.37043599
Dapsone,https://pubchem.ncbi.nlm.nih.gov/compound/2955,"4-(4-aminophenyl)sulfonylaniline

",80-08-0,C12H12N2O2S,12,12,2,2,1,0,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,"InChI=1S/C12H12N2O2S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8H,13-14H2

",248.301,2.41,0.97,-2.82,86.18,25.05,4,2,-5.878,-5.83,-2.107,5.83,2.107,3.9685,1.8615,0.992125,0.814262691,82.21431512
Daunorubicin,https://pubchem.ncbi.nlm.nih.gov/compound/30323,"(7S,9S)-9-acetyl-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione",20830-81-3,C27H29NO10,27,29,1,10,0,0,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,"InChI=1S/C27H29NO10/c1-10-22(30)14(28)7-17(37-10)38-16-9-27(35,11(2)29)8-13-19(16)26(34)21-20(24(13)32)23(31)12-5-4-6-15(36-3)18(12)25(21)33/h4-6,10,14,16-17,22,30,32,34-35H,7-9,28H2,1-3H3/t10-,14-,16-,17-,22+,27-/m0/s1

",527.5,8.2,1.83,-2.9,185.84,52.94,11,5,-6.045,-5.866,-4.011,5.866,4.011,4.9385,0.9275,1.234625,1.111320755,88.81950032
Debrisoquine,https://pubchem.ncbi.nlm.nih.gov/compound/2966,"3,4-dihydro-1H-isoquinoline-2-carboximidamide

",1131-64-2,C10H13N3,10,13,3,0,0,0,C1CN(CC2=CC=CC=C21)C(=N)N,"InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12)

",175.23,11.9,0.75,-2.3,53.11,19.48,3,2,-6.3,-5.449,-1.498,5.449,1.498,3.4735,1.9755,0.868375,0.892558846,89.52593226
Dehydrocholic acid,https://pubchem.ncbi.nlm.nih.gov/compound/6674,"(4R)-4-[(5S,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3,7,12-trioxo-1,2,4,5,6,8,9,11,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid

",81-23-2,C24H34O5,24,34,0,5,0,0,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,"InChI=1S/C24H34O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-14,16-18,22H,4-12H2,1-3H3,(H,28,29)/t13-,14+,16-,17+,18+,22+,23+,24-/m1/s1",402.5,5,3.37,-4.8,88.5,44.81,5,1,-6.301,-6.07,-2.33,6.07,2.33,4.2,1.87,1.05,0.748663102,86.75191535
